Förvaltning;Leverantör;Organisationsnummer;Verifikationsnummer;Konto;Kontotext;Belopp exkl moms
Grundskolenämnden;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;6092214901;7499;Övriga främmande tjänster;435,19
Grundskolenämnden;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;6092214901;7499;Övriga främmande tjänster;124,34
Grundskolenämnden;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;6092214901;7499;Övriga främmande tjänster;62,17
Nämnden för funktionsstöd;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;1611413235;6431;Böcker tidningar och elektronisk media;744,34
Socialnämnd Hisingen;UTRIKESDEPARTEMENTET;2021003831;1661084293;7011;Transporter;18 905,00
Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001292719;7499;Övriga främmande tjänster;1 033,70
Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001295085;7499;Övriga främmande tjänster;3 321,63
Socialnämnd Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641093207;4630;Köp av huvudverksamhet;144 000,00
Socialnämnd Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641093202;4630;Köp av huvudverksamhet;29 100,00
Socialnämnd Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641093204;4630;Köp av huvudverksamhet;225 525,00
Socialnämnd Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641093208;4630;Köp av huvudverksamhet;138 921,00
Socialnämnd Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641093203;4630;Köp av huvudverksamhet;225 525,00
Socialnämnd Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641093209;4630;Köp av huvudverksamhet;174 000,00
Socialnämnd Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641093205;4630;Köp av huvudverksamhet;27 840,00
Socialnämnd Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641093206;4630;Köp av huvudverksamhet;60 000,00
Socialnämnd Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641093210;4630;Köp av huvudverksamhet;54 000,00
Socialnämnd Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641093211;4630;Köp av huvudverksamhet;22 320,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115730;4630;Köp av huvudverksamhet;19 227,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115730;4630;Köp av huvudverksamhet;104 448,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115735;4630;Köp av huvudverksamhet;186 000,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115737;4630;Köp av huvudverksamhet;162 000,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115740;4630;Köp av huvudverksamhet;186 000,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115736;4630;Köp av huvudverksamhet;22 320,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115733;4630;Köp av huvudverksamhet;98 304,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115733;4630;Köp av huvudverksamhet;18 096,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115732;4630;Köp av huvudverksamhet;190 464,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115732;4630;Köp av huvudverksamhet;35 061,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115728;4630;Köp av huvudverksamhet;190 464,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115728;4630;Köp av huvudverksamhet;35 061,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115729;4630;Köp av huvudverksamhet;92 160,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115729;4630;Köp av huvudverksamhet;16 965,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115718;4630;Köp av huvudverksamhet;192 948,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115718;4630;Köp av huvudverksamhet;35 061,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115719;4630;Köp av huvudverksamhet;104 448,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115719;4630;Köp av huvudverksamhet;19 227,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115720;4630;Köp av huvudverksamhet;104 448,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115720;4630;Köp av huvudverksamhet;19 227,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115723;4630;Köp av huvudverksamhet;190 464,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115723;4630;Köp av huvudverksamhet;35 061,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115726;4630;Köp av huvudverksamhet;58 200,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115725;4630;Köp av huvudverksamhet;35 061,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115727;4630;Köp av huvudverksamhet;72 084,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115727;4630;Köp av huvudverksamhet;12 441,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115721;4630;Köp av huvudverksamhet;27 144,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115717;4630;Köp av huvudverksamhet;190 464,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115717;4630;Köp av huvudverksamhet;35 061,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115722;4630;Köp av huvudverksamhet;43 008,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115722;4630;Köp av huvudverksamhet;7 917,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115725;4630;Köp av huvudverksamhet;312 542,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115738;4630;Köp av huvudverksamhet;186 000,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115739;4630;Köp av huvudverksamhet;22 320,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115734;4630;Köp av huvudverksamhet;162 000,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115716;4630;Köp av huvudverksamhet;190 464,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115716;4630;Köp av huvudverksamhet;35 061,00
Socialnämnd Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631115721;4630;Köp av huvudverksamhet;147 456,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081900;4630;Köp av huvudverksamhet;218 250,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661084326;4630;Köp av huvudverksamhet;225 870,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661084328;4630;Köp av huvudverksamhet;94 575,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661084340;4630;Köp av huvudverksamhet;186 000,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661084341;4630;Köp av huvudverksamhet;22 320,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661084343;4630;Köp av huvudverksamhet;22 320,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661084331;4630;Köp av huvudverksamhet;225 525,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661084337;4630;Köp av huvudverksamhet;225 525,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661084330;4630;Köp av huvudverksamhet;225 525,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661084342;4630;Köp av huvudverksamhet;108 000,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081897;4630;Köp av huvudverksamhet;145 500,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081898;4630;Köp av huvudverksamhet;138 225,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081902;4630;Köp av huvudverksamhet;123 675,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081904;4630;Köp av huvudverksamhet;72 750,00
Socialnämnd Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081911;4630;Köp av huvudverksamhet;130 950,00
Socialnämnd Sydväst;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1651134286;4630;Köp av huvudverksamhet;225 525,00
Socialnämnd Sydväst;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1651134290;4630;Köp av huvudverksamhet;122 640,00
Socialnämnd Sydväst;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1651134288;4630;Köp av huvudverksamhet;186 000,00
Stadsbyggnadsnämnden;LANTMÄTERIET;2021004888;3001074200;7651;Kurs- och konferensavgifter mm;15 000,00
Kulturnämnden;MODERNA MUSEET;2021005091;6901235945;7611;Avgifter;4 000,00
Utbildningsnämnden;SKATTEVERKET;2021005448;6101608592;7433;IT-program och licensavgifter;9 644,85
Utbildningsnämnden;SKATTEVERKET;2021005448;6101608785;7433;IT-program och licensavgifter;1 910,49
Stadsbyggnadsnämnden;BOLAGSVERKET;2021005489;3001074098;7499;Övriga främmande tjänster;264,00
Stadsbyggnadsnämnden;BOLAGSVERKET;2021005489;3001074099;7499;Övriga främmande tjänster;14,00
Stadsbyggnadsnämnden;BOLAGSVERKET;2021005489;3001074100;7499;Övriga främmande tjänster;2 450,50
Miljö- och klimatnämnden;BOLAGSVERKET;2021005489;8001036997;7459;Övriga konsulttjänster;590,00
Miljö- och klimatnämnden;BOLAGSVERKET;2021005489;8001036997;7459;Övriga konsulttjänster;590,00
Nämnden för Intraservice;BOLAGSVERKET;2021005489;601189096;7433;IT-program och licensavgifter;180,00
Nämnden för funktionsstöd;FÖRSÄKRINGSKASSAN;2021005521;1611413337;4538;Ers personlig assistent endast till FK;17 860 163,00
Exploateringsnämnden;KRONOFOGDEN;2021005646;2001226987;7641;Diverse skatter och offentliga avgifter;300,00
Exploateringsnämnden;KRONOFOGDEN;2021005646;2001228780;7641;Diverse skatter och offentliga avgifter;2 800,00
Exploateringsnämnden;KRONOFOGDEN;2021005646;2001228781;7641;Diverse skatter och offentliga avgifter;1 550,00
Exploateringsnämnden;KRONOFOGDEN;2021005646;2001228782;7641;Diverse skatter och offentliga avgifter;600,00
Exploateringsnämnden;KRONOFOGDEN;2021005646;2001229052;7641;Diverse skatter och offentliga avgifter;3 938,00
Stadsmiljönämnden;KRONOFOGDEN;2021005646;4001295686;4630;Köp av huvudverksamhet;160 625,00
Stadsmiljönämnden;KRONOFOGDEN;2021005646;4001295687;4630;Köp av huvudverksamhet;125 000,00
Stadsmiljönämnden;KRONOFOGDEN;2021005646;4001295456;7453;Tekniska konsulttjänster;600,00
Kulturnämnden;KRONOFOGDEN;2021005646;6901235619;7611;Avgifter;300,00
Grundskolenämnden;SPECIALPEDAGOGISKA SKOLMYNDIGHETEN;2021005745;6092217615;6431;Böcker tidningar och elektronisk media;200,00
Kommunledning;MSB;2021005984;101083541;6812;Telefoni;464 088,02
Stadsmiljönämnden;TRANSPORTSTYRELSEN;2021006099;4001295142;7611;Avgifter;2 861,00
Stadsmiljönämnden;TRANSPORTSTYRELSEN;2021006099;4001295140;6921;Fordonsskatt;2 482,00
Stadsmiljönämnden;TRANSPORTSTYRELSEN;2021006099;4001295254;7641;Diverse skatter och offentliga avgifter;62,00
Stadsmiljönämnden;TRANSPORTSTYRELSEN;2021006099;4001295255;7641;Diverse skatter och offentliga avgifter;62,00
Idrotts-och föreningsnämnden;TRANSPORTSTYRELSEN;2021006099;3931240812;6921;Fordonsskatt;124,00
Idrotts-och föreningsnämnden;TRANSPORTSTYRELSEN;2021006099;3931240814;6921;Fordonsskatt;124,00
Idrotts-och föreningsnämnden;TRANSPORTSTYRELSEN;2021006099;3931240218;6921;Fordonsskatt;62,00
Utbildningsnämnden;TRANSPORTSTYRELSEN;2021006099;6101613534;6921;Fordonsskatt;664,00
Utbildningsnämnden;TRANSPORTSTYRELSEN;2021006099;6101614311;7611;Avgifter;14 479,00
Utbildningsnämnden;TRANSPORTSTYRELSEN;2021006099;6101613743;6921;Fordonsskatt;6 372,00
Utbildningsnämnden;TRANSPORTSTYRELSEN;2021006099;6101613741;6921;Fordonsskatt;3 864,00
Utbildningsnämnden;TRANSPORTSTYRELSEN;2021006099;6101613741;6921;Fordonsskatt;966,00
Utbildningsnämnden;TRANSPORTSTYRELSEN;2021006099;6101613742;6921;Fordonsskatt;1 390,00
Utbildningsnämnden;TRANSPORTSTYRELSEN;2021006099;6101613788;7611;Avgifter;49,60
Utbildningsnämnden;TRANSPORTSTYRELSEN;2021006099;6101613788;7611;Avgifter;12,40
Utbildningsnämnden;TRANSPORTSTYRELSEN;2021006099;6101614224;6921;Fordonsskatt;333,00
Stadsfastighetsnämnden;TRANSPORTSTYRELSEN;2021006099;2302193717;6991;Övriga kostnader transportmedel;62,00
Stadsfastighetsnämnden;TRANSPORTSTYRELSEN;2021006099;2302193718;6991;Övriga kostnader transportmedel;62,00
Kretslopp och Vatten;TRANSPORTSTYRELSEN;2021006099;5601378277;6991;Övriga kostnader transportmedel;8 687,00
Kretslopp och Vatten;TRANSPORTSTYRELSEN;2021006099;5601378383;7611;Avgifter;62,00
Kretslopp och Vatten;TRANSPORTSTYRELSEN;2021006099;5601378927;6921;Fordonsskatt;391,00
Kretslopp och Vatten;TRANSPORTSTYRELSEN;2021006099;5601378522;6921;Fordonsskatt;1 942,00
Kretslopp och Vatten;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;5601376051;6961;Trängselskatt;747,00
Kretslopp och Vatten;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;5601376060;6921;Fordonsskatt;43,00
Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611418;6961;Trängselskatt;9,00
Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611405;6961;Trängselskatt;9,00
Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611409;6961;Trängselskatt;45,00
Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611410;6961;Trängselskatt;40,95
Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611412;6961;Trängselskatt;117,00
Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611413;6961;Trängselskatt;18,00
Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611414;6961;Trängselskatt;27,00
Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611415;6961;Trängselskatt;67,00
Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611416;6961;Trängselskatt;50,00
Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611417;6961;Trängselskatt;94,00
Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611410;6961;Trängselskatt;22,05
Kretslopp och Vatten;TRAFIKVERKET;2021006297;5601378717;7459;Övriga konsulttjänster;39 194,50
Exploateringsnämnden;TRAFIKVERKET;2021006297;2001228943;6183;Anläggn/reparation entrepr projektering;3 651 047,25
Exploateringsnämnden;TRAFIKVERKET;2021006297;2001228944;6183;Anläggn/reparation entrepr projektering;2 515 706,50
Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001296278;7498;Arbetad tid;1 597 138,00
Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001296278;7498;Arbetad tid;-287 660,00
Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001296278;7459;Övriga konsulttjänster;122 093,00
Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001296278;7459;Övriga konsulttjänster;10,00
Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001296278;7459;Övriga konsulttjänster;5,25
Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001296278;7498;Arbetad tid;48 000,00
Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001296278;6011;Lokalhyror;373 206,00
Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001296278;6011;Lokalhyror;144,00
Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001296278;6411;Förbrukningsinventarier;47,00
Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001296278;6011;Lokalhyror;30 000,00
Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001296285;4630;Köp av huvudverksamhet;34 064,75
Exploateringsnämnden;TRAFIKVERKET/AVD REDOVISNING;2021006297;2001228828;1662;Avräkningsfordringar;2 531 172,00
Socialnämnd Hisingen;INSPEKTIONEN FÖR VÅRD OCH OMSORG;2021006537;1661084488;7611;Avgifter;15 250,00
Socialnämnd Hisingen;INSPEKTIONEN FÖR VÅRD OCH OMSORG;2021006537;1661084488;7611;Avgifter;15 250,00
Socialnämnd Hisingen;INSPEKTIONEN FÖR VÅRD OCH OMSORG;2021006537;1661084916;7611;Avgifter;10 000,00
Socialnämnd Hisingen;INSPEKTIONEN FÖR VÅRD OCH OMSORG;2021006537;1661084916;7611;Avgifter;10 000,00
Socialnämnd Nordost;INSPEKTIONEN FÖR VÅRD OCH OMSORG;2021006537;1631115993;7361;Straffavgifter och skadestånd;15 400,00
Miljö- och klimatnämnden;FOLKHÄLSOMYNDIGHETEN;2021006545;8001037018;7499;Övriga främmande tjänster;550,50
Miljö- och klimatnämnden;FOLKHÄLSOMYNDIGHETEN;2021006545;8001037019;7499;Övriga främmande tjänster;550,50
Miljö- och klimatnämnden;FOLKHÄLSOMYNDIGHETEN;2021006545;8001037020;7499;Övriga främmande tjänster;550,50
Miljö- och klimatnämnden;FOLKHÄLSOMYNDIGHETEN;2021006545;8001037021;7499;Övriga främmande tjänster;550,50
Miljö- och klimatnämnden;FOLKHÄLSOMYNDIGHETEN;2021006545;8001037022;7499;Övriga främmande tjänster;550,50
Miljö- och klimatnämnden;FOLKHÄLSOMYNDIGHETEN;2021006545;8001037023;7499;Övriga främmande tjänster;550,50
Vuxenutbildningsnämnden;STOCKHOLMS STAD ARBETSMARKNADSFÖRVALTNINGEN;2120000142;6251057878;4630;Köp av huvudverksamhet;6 644,00
